ODI Rank,Team 1,Team 2,InningWinner,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,Margin
ODI # 3603,Ireland,West Indies,Winner2ndInning,Nelson,"Feb 16, 2015",Ireland,New Zealand,Neutral,Neutral,Second,First,4 wickets
ODI # 3604,New Zealand,Scotland,Winner2ndInning,Dunedin,"Feb 17, 2015",New Zealand,New Zealand,Home,Away,Second,First,3 wickets
ODI # 3605,Afghanistan,Bangladesh,Winner1stInning,Canberra,"Feb 18, 2015",Bangladesh,Australia,Neutral,Neutral,Second,First,105 runs
ODI # 3606,U.A.E.,Zimbabwe,Winner2ndInning,Nelson,"Feb 19, 2015",Zimbabwe,New Zealand,Neutral,Neutral,First,Second,4 wickets
ODI # 3607,New Zealand,England,Winner2ndInning,Wellington,"Feb 20, 2015",New Zealand,New Zealand,Home,Away,Second,First,8 wickets
ODI # 3608,Pakistan,West Indies,Winner1stInning,Christchurch,"Feb 21, 2015",West Indies,New Zealand,Neutral,Neutral,Second,First,150 runs
ODI # 3609,Afghanistan,Sri Lanka,Winner2ndInning,Dunedin,"Feb 22, 2015",Sri Lanka,New Zealand,Neutral,Neutral,First,Second,4 wickets
ODI # 3610,India,South Africa,Winner1stInning,Melbourne,"Feb 22, 2015",India,Australia,Neutral,Neutral,First,Second,130 runs
ODI # 3611,England,Scotland,Winner1stInning,Christchurch,"Feb 23, 2015",England,New Zealand,Neutral,Neutral,First,Second,119 runs
ODI # 3612,West Indies,Zimbabwe,Winner1stInning,Canberra,"Feb 24, 2015",West Indies,Australia,Neutral,Neutral,First,Second,73 runs
ODI # 3613,Ireland,U.A.E.,Winner2ndInning,Brisbane,"Feb 25, 2015",Ireland,Australia,Neutral,Neutral,Second,First,2 wickets
ODI # 3614,Afghanistan,Scotland,Winner2ndInning,Dunedin,"Feb 26, 2015",Afghanistan,New Zealand,Neutral,Neutral,Second,First,1 wicket
ODI # 3615,Bangladesh,Sri Lanka,Winner1stInning,Melbourne,"Feb 26, 2015",Sri Lanka,Australia,Neutral,Neutral,Second,First,92 runs
ODI # 3616,South Africa,West Indies,Winner1stInning,Sydney,"Feb 27, 2015",South Africa,Australia,Neutral,Neutral,First,Second,257 runs
ODI # 3617,New Zealand,Australia,Winner2ndInning,Auckland,"Feb 28, 2015",New Zealand,New Zealand,Home,Away,Second,First,1 wicket
ODI # 3618,India,U.A.E.,Winner2ndInning,Perth,"Feb 28, 2015",India,Australia,Neutral,Neutral,Second,First,9 wickets
ODI # 3619,England,Sri Lanka,Winner2ndInning,Wellington,"Mar 1, 2015",Sri Lanka,New Zealand,Neutral,Neutral,First,Second,9 wickets
ODI # 3620,Pakistan,Zimbabwe,Winner1stInning,Brisbane,"Mar 1, 2015",Pakistan,Australia,Neutral,Neutral,First,Second,20 runs
ODI # 3621,Ireland,South Africa,Winner1stInning,Canberra,"Mar 3, 2015",South Africa,Australia,Neutral,Neutral,Second,First,201 runs
ODI # 3622,Pakistan,U.A.E.,Winner1stInning,Napier,"Mar 4, 2015",Pakistan,New Zealand,Neutral,Neutral,First,Second,129 runs
ODI # 3623,Australia,Afghanistan,Winner1stInning,Perth,"Mar 4, 2015",Australia,Australia,Home,Away,First,Second,275 runs
ODI # 3624,Bangladesh,Scotland,Winner2ndInning,Nelson,"Mar 5, 2015",Bangladesh,New Zealand,Neutral,Neutral,Second,First,6 wickets
ODI # 3625,India,West Indies,Winner2ndInning,Perth,"Mar 6, 2015",India,Australia,Neutral,Neutral,Second,First,4 wickets
ODI # 3626,Pakistan,South Africa,Winner1stInning,Auckland,"Mar 7, 2015",Pakistan,New Zealand,Neutral,Neutral,First,Second,29 runs
ODI # 3627,Ireland,Zimbabwe,Winner1stInning,Hobart,"Mar 7, 2015",Ireland,Australia,Neutral,Neutral,First,Second,5 runs
ODI # 3628,New Zealand,Afghanistan,Winner2ndInning,Napier,"Mar 8, 2015",New Zealand,New Zealand,Home,Away,Second,First,6 wickets
ODI # 3629,Australia,Sri Lanka,Winner1stInning,Sydney,"Mar 8, 2015",Australia,Australia,Home,Away,First,Second,64 runs
ODI # 3630,Bangladesh,England,Winner1stInning,Adelaide,"Mar 9, 2015",Bangladesh,Australia,Neutral,Neutral,First,Second,15 runs
ODI # 3631,India,Ireland,Winner2ndInning,Hamilton,"Mar 10, 2015",India,New Zealand,Neutral,Neutral,Second,First,8 wickets
ODI # 3632,Scotland,Sri Lanka,Winner1stInning,Hobart,"Mar 11, 2015",Sri Lanka,Australia,Neutral,Neutral,Second,First,148 runs
ODI # 3633,South Africa,U.A.E.,Winner1stInning,Wellington,"Mar 12, 2015",South Africa,New Zealand,Neutral,Neutral,First,Second,146 runs
ODI # 3634,New Zealand,Bangladesh,Winner2ndInning,Hamilton,"Mar 13, 2015",New Zealand,New Zealand,Home,Away,Second,First,3 wickets
ODI # 3635,Afghanistan,England,Winner2ndInning,Sydney,"Mar 13, 2015",England,Australia,Neutral,Neutral,First,Second,9 wickets
ODI # 3636,India,Zimbabwe,Winner2ndInning,Auckland,"Mar 14, 2015",India,New Zealand,Neutral,Neutral,Second,First,6 wickets
ODI # 3637,Australia,Scotland,Winner2ndInning,Hobart,"Mar 14, 2015",Australia,Australia,Home,Away,Second,First,7 wickets
ODI # 3638,U.A.E.,West Indies,Winner2ndInning,Napier,"Mar 15, 2015",West Indies,New Zealand,Neutral,Neutral,First,Second,6 wickets
ODI # 3639,Ireland,Pakistan,Winner2ndInning,Adelaide,"Mar 15, 2015",Pakistan,Australia,Neutral,Neutral,First,Second,7 wickets
ODI # 3640,South Africa,Sri Lanka,Winner2ndInning,Sydney,"Mar 18, 2015",South Africa,Australia,Neutral,Neutral,Second,First,9 wickets
ODI # 3641,Bangladesh,India,Winner1stInning,Melbourne,"Mar 19, 2015",India,Australia,Neutral,Neutral,Second,First,109 runs
ODI # 3642,Australia,Pakistan,Winner2ndInning,Adelaide,"Mar 20, 2015",Australia,Australia,Home,Away,Second,First,6 wickets
ODI # 3643,New Zealand,West Indies,Winner1stInning,Wellington,"Mar 21, 2015",New Zealand,New Zealand,Home,Away,First,Second,143 runs
ODI # 3644,New Zealand,South Africa,Winner2ndInning,Auckland,"Mar 24, 2015",New Zealand,New Zealand,Home,Away,Second,First,4 wickets
ODI # 3645,Australia,India,Winner1stInning,Sydney,"Mar 26, 2015",Australia,Australia,Home,Away,First,Second,95 runs
ODI # 3646,Australia,New Zealand,Winner2ndInning,Melbourne,"Mar 29, 2015",Australia,Australia,Home,Away,Second,First,7 wickets
ODI # 3647,Bangladesh,Pakistan,Winner1stInning,Dhaka,"Apr 17, 2015",Bangladesh,Bangladesh,Home,Away,First,Second,79 runs
ODI # 3648,Bangladesh,Pakistan,Winner2ndInning,Dhaka,"Apr 19, 2015",Bangladesh,Bangladesh,Home,Away,Second,First,7 wickets
ODI # 3649,Bangladesh,Pakistan,Winner2ndInning,Dhaka,"Apr 22, 2015",Bangladesh,Bangladesh,Home,Away,Second,First,8 wickets
ODI # 3651,Pakistan,Zimbabwe,Winner1stInning,Lahore,"May 26, 2015",Pakistan,Pakistan,Home,Away,First,Second,41 runs
ODI # 3652,Pakistan,Zimbabwe,Winner2ndInning,Lahore,"May 29, 2015",Pakistan,Pakistan,Home,Away,Second,First,6 wickets
ODI # 3654,England,New Zealand,Winner1stInning,Birmingham,"Jun 9, 2015",England,England,Home,Away,First,Second,210 runs
ODI # 3655,England,New Zealand,Winner1stInning,The Oval,"Jun 12, 2015",New Zealand,England,Home,Away,Second,First,13 runs
ODI # 3656,England,New Zealand,Winner2ndInning,Southampton,"Jun 14, 2015",New Zealand,England,Home,Away,First,Second,3 wickets
ODI # 3657,England,New Zealand,Winner2ndInning,Nottingham,"Jun 17, 2015",England,England,Home,Away,Second,First,7 wickets
ODI # 3658,Bangladesh,India,Winner1stInning,Dhaka,"Jun 18, 2015",Bangladesh,Bangladesh,Home,Away,First,Second,79 runs
ODI # 3659,England,New Zealand,Winner2ndInning,Chester,"Jun 20, 2015",England,England,Home,Away,Second,First,3 wickets
ODI # 3660,Bangladesh,India,Winner2ndInning,Dhaka,"Jun 21, 2015",Bangladesh,Bangladesh,Home,Away,Second,First,6 wickets
ODI # 3661,Bangladesh,India,Winner1stInning,Dhaka,"Jun 24, 2015",India,Bangladesh,Home,Away,Second,First,77 runs
ODI # 3662,Zimbabwe,India,Winner1stInning,Harare,"Jul 10, 2015",India,Zimbabwe,Home,Away,Second,First,4 runs
ODI # 3663,Bangladesh,South Africa,Winner2ndInning,Dhaka,"Jul 10, 2015",South Africa,Bangladesh,Home,Away,First,Second,8 wickets
ODI # 3664,Sri Lanka,Pakistan,Winner2ndInning,Dambulla,"Jul 11, 2015",Pakistan,Sri Lanka,Home,Away,First,Second,6 wickets
ODI # 3665,Zimbabwe,India,Winner1stInning,Harare,"Jul 12, 2015",India,Zimbabwe,Home,Away,Second,First,62 runs
ODI # 3666,Bangladesh,South Africa,Winner2ndInning,Dhaka,"Jul 12, 2015",Bangladesh,Bangladesh,Home,Away,Second,First,7 wickets
ODI # 3667,Zimbabwe,India,Winner1stInning,Harare,"Jul 14, 2015",India,Zimbabwe,Home,Away,Second,First,83 runs
ODI # 3668,Bangladesh,South Africa,Winner2ndInning,Chittagong,"Jul 15, 2015",Bangladesh,Bangladesh,Home,Away,Second,First,9 wickets
ODI # 3669,Sri Lanka,Pakistan,Winner2ndInning,Pallekele,"Jul 15, 2015",Sri Lanka,,Neutral,Neutral,Second,First,2 wickets
ODI # 3670,Sri Lanka,Pakistan,Winner1stInning,Colombo,"Jul 19, 2015",Pakistan,Sri Lanka,Home,Away,Second,First,135 runs
