ODI Rank,Team 1,Team 2,InningWinner,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,Margin
ODI # 3875,England,Bangladesh,Winner2ndInning,The Oval,"Jun 1, 2017",England,England,Home,Away,Second,First,8 wickets
ODI # 3877,South Africa,Sri Lanka,Winner1stInning,The Oval,"Jun 3, 2017",South Africa,England,Neutral,Neutral,First,Second,96 runs
ODI # 3878,India,Pakistan,Winner1stInning,Birmingham,"Jun 4, 2017",India,England,Neutral,Neutral,First,Second,124 runs
ODI # 3880,England,New Zealand,Winner1stInning,Cardiff,"Jun 6, 2017",England,England,Home,Away,First,Second,87 runs
ODI # 3881,Pakistan,South Africa,Winner1stInning,Birmingham,"Jun 7, 2017",Pakistan,England,Neutral,Neutral,First,Second,19 runs
ODI # 3882,India,Sri Lanka,Winner2ndInning,The Oval,"Jun 8, 2017",Sri Lanka,England,Neutral,Neutral,First,Second,7 wickets
ODI # 3883,Bangladesh,New Zealand,Winner2ndInning,Cardiff,"Jun 9, 2017",Bangladesh,England,Neutral,Neutral,Second,First,5 wickets
ODI # 3884,West Indies,Afghanistan,Winner1stInning,Gros Islet,"Jun 9, 2017",Afghanistan,West Indies,Home,Away,Second,First,63 runs
ODI # 3885,England,Australia,Winner1stInning,Birmingham,"Jun 10, 2017",England,England,Home,Away,First,Second,40 runs
ODI # 3886,India,South Africa,Winner2ndInning,The Oval,"Jun 11, 2017",India,England,Neutral,Neutral,Second,First,8 wickets
ODI # 3887,West Indies,Afghanistan,Winner2ndInning,Gros Islet,"Jun 11, 2017",West Indies,West Indies,Home,Away,Second,First,4 wickets
ODI # 3888,Pakistan,Sri Lanka,Winner2ndInning,Cardiff,"Jun 12, 2017",Pakistan,England,Neutral,Neutral,Second,First,3 wickets
ODI # 3889,England,Pakistan,Winner2ndInning,Cardiff,"Jun 14, 2017",Pakistan,England,Home,Away,First,Second,8 wickets
ODI # 3891,Bangladesh,India,Winner2ndInning,Birmingham,"Jun 15, 2017",India,England,Neutral,Neutral,First,Second,9 wickets
ODI # 3892,Scotland,Zimbabwe,Winner1stInning,Edinburgh,"Jun 15, 2017",Scotland,Scotland,Home,Away,First,Second,26 runs
ODI # 3893,Scotland,Zimbabwe,Winner2ndInning,Edinburgh,"Jun 17, 2017",Zimbabwe,Scotland,Home,Away,First,Second,6 wickets
ODI # 3894,India,Pakistan,Winner1stInning,The Oval,"Jun 18, 2017",Pakistan,England,Neutral,Neutral,Second,First,180 runs
ODI # 3896,West Indies,India,Winner1stInning,Port of Spain,"Jun 25, 2017",India,West Indies,Home,Away,Second,First,105 runs
ODI # 3897,Sri Lanka,Zimbabwe,Winner2ndInning,Galle,"Jun 30, 2017",Zimbabwe,Sri Lanka,Home,Away,First,Second,6 wickets
ODI # 3898,West Indies,India,Winner1stInning,North Sound,"Jun 30, 2017",India,West Indies,Home,Away,Second,First,93 runs
ODI # 3899,Sri Lanka,Zimbabwe,Winner2ndInning,Galle,"Jul 2, 2017",Sri Lanka,Sri Lanka,Home,Away,Second,First,7 wickets
ODI # 3900,West Indies,India,Winner1stInning,North Sound,"Jul 2, 2017",West Indies,West Indies,Home,Away,First,Second,11 runs
ODI # 3901,Sri Lanka,Zimbabwe,Winner2ndInning,Hambantota,"Jul 6, 2017",Sri Lanka,Sri Lanka,Home,Away,Second,First,8 wickets
ODI # 3902,West Indies,India,Winner2ndInning,Kingston,"Jul 6, 2017",India,West Indies,Home,Away,First,Second,8 wickets
ODI # 3903,Sri Lanka,Zimbabwe,Winner2ndInning,Hambantota,"Jul 8, 2017",Zimbabwe,Sri Lanka,Home,Away,First,Second,4 wickets
ODI # 3904,Sri Lanka,Zimbabwe,Winner2ndInning,Hambantota,"Jul 10, 2017",Zimbabwe,Sri Lanka,Home,Away,First,Second,3 wickets
ODI # 3905,Sri Lanka,India,Winner2ndInning,Dambulla,"Aug 20, 2017",India,Sri Lanka,Home,Away,First,Second,9 wickets
ODI # 3906,Sri Lanka,India,Winner2ndInning,Pallekele,"Aug 24, 2017",India,,Neutral,Neutral,First,Second,3 wickets
ODI # 3907,Sri Lanka,India,Winner2ndInning,Pallekele,"Aug 27, 2017",India,,Neutral,Neutral,First,Second,6 wickets
ODI # 3908,Sri Lanka,India,Winner1stInning,Colombo,"Aug 31, 2017",India,Sri Lanka,Home,Away,Second,First,168 runs
ODI # 3909,Sri Lanka,India,Winner2ndInning,Colombo,"Sep 3, 2017",India,Sri Lanka,Home,Away,First,Second,6 wickets
ODI # 3910,India,Australia,Winner1stInning,Chennai,"Sep 17, 2017",India,India,Home,Away,First,Second,26 runs
ODI # 3911,England,West Indies,Winner2ndInning,Manchester,"Sep 19, 2017",England,England,Home,Away,Second,First,7 wickets
ODI # 3912,India,Australia,Winner1stInning,Kolkata,"Sep 21, 2017",India,India,Home,Away,First,Second,50 runs
ODI # 3914,India,Australia,Winner2ndInning,Indore,"Sep 24, 2017",India,India,Home,Away,Second,First,5 wickets
ODI # 3915,England,West Indies,Winner1stInning,Bristol,"Sep 24, 2017",England,England,Home,Away,First,Second,124 runs
ODI # 3916,England,West Indies,Winner1stInning,The Oval,"Sep 27, 2017",England,England,Home,Away,First,Second,6 runs
ODI # 3917,India,Australia,Winner1stInning,Bengaluru,"Sep 28, 2017",Australia,India,Home,Away,Second,First,21 runs
ODI # 3918,England,West Indies,Winner2ndInning,Southampton,"Sep 29, 2017",England,England,Home,Away,Second,First,9 wickets
ODI # 3919,India,Australia,Winner2ndInning,Nagpur,"Oct 1, 2017",India,India,Home,Away,Second,First,7 wickets
ODI # 3920,P.N.G.,Scotland,Winner1stInning,Port Moresby,"Oct 6, 2017",Scotland,Papua New Guinea,Neutral,Neutral,Second,First,101 runs
ODI # 3921,P.N.G.,Scotland,Winner2ndInning,Port Moresby,"Oct 8, 2017",P.N.G.,Papua New Guinea,Neutral,Neutral,Second,First,5 wickets
ODI # 3922,Pakistan,Sri Lanka,Winner1stInning,Dubai,"Oct 13, 2017",Pakistan,U.A.E.,Neutral,Neutral,First,Second,83 runs
ODI # 3923,South Africa,Bangladesh,Winner2ndInning,Kimberley,"Oct 15, 2017",South Africa,South Africa,Home,Away,Second,First,10 wickets
ODI # 3924,Pakistan,Sri Lanka,Winner1stInning,Abu Dhabi,"Oct 16, 2017",Pakistan,U.A.E.,Neutral,Neutral,First,Second,32 runs
ODI # 3925,South Africa,Bangladesh,Winner1stInning,Paarl,"Oct 18, 2017",South Africa,South Africa,Home,Away,First,Second,104 runs
ODI # 3926,Pakistan,Sri Lanka,Winner2ndInning,Abu Dhabi,"Oct 18, 2017",Pakistan,U.A.E.,Neutral,Neutral,Second,First,7 wickets
ODI # 3927,Pakistan,Sri Lanka,Winner2ndInning,Sharjah,"Oct 20, 2017",Pakistan,U.A.E.,Neutral,Neutral,Second,First,7 wickets
ODI # 3928,India,New Zealand,Winner2ndInning,Mumbai,"Oct 22, 2017",New Zealand,India,Home,Away,First,Second,6 wickets
ODI # 3929,South Africa,Bangladesh,Winner1stInning,East London,"Oct 22, 2017",South Africa,South Africa,Home,Away,First,Second,200 runs
ODI # 3930,Pakistan,Sri Lanka,Winner2ndInning,Sharjah,"Oct 23, 2017",Pakistan,U.A.E.,Neutral,Neutral,Second,First,9 wickets
ODI # 3931,India,New Zealand,Winner2ndInning,Pune,"Oct 25, 2017",India,India,Home,Away,Second,First,6 wickets
ODI # 3932,India,New Zealand,Winner1stInning,Kanpur,"Oct 29, 2017",India,India,Home,Away,First,Second,6 runs
